split,rep,model_name,metric,value
validation,40,baseline,brier_score,0.22545773115007897
validation,40,baseline,accuracy,0.6266883314715141
validation,40,full_formatting,log_loss,0.633406387612392
validation,40,full_formatting,brier_score,0.22123196210507134
validation,40,full_formatting,accuracy,0.6378592464710064
validation,40,signal_interactions,log_loss,0.6344198517136195
validation,40,signal_interactions,brier_score,0.22151517227121353
validation,40,signal_interactions,accuracy,0.6464913171524322
validation,41,baseline,log_loss,0.6404511333025751
validation,41,baseline,brier_score,0.2247013772685013
validation,41,baseline,accuracy,0.6355063550635507
validation,41,full_formatting,log_loss,0.6314633377726764
validation,41,full_formatting,brier_score,0.2203970915665411
validation,41,full_formatting,accuracy,0.6432964329643296
validation,41,signal_interactions,log_loss,0.6319972877721379
validation,41,signal_interactions,brier_score,0.22027114977367498
validation,41,signal_interactions,accuracy,0.6517015170151702
validation,42,baseline,log_loss,0.6435275466605741
validation,42,baseline,brier_score,0.22599166972342047
validation,42,baseline,accuracy,0.631482982171799
validation,42,full_formatting,log_loss,0.6344184628561005
validation,42,full_formatting,brier_score,0.22162414578934242
validation,42,full_formatting,accuracy,0.6394854132901134
validation,42,signal_interactions,log_loss,0.6354455957170311
validation,42,signal_interactions,brier_score,0.22203297183125129
validation,42,signal_interactions,accuracy,0.645563209076175
validation,43,baseline,log_loss,0.6518159537601816
validation,43,baseline,brier_score,0.22972617108089002
validation,43,baseline,accuracy,0.6219798144561117
validation,43,full_formatting,log_loss,0.6427718635674747
validation,43,full_formatting,brier_score,0.225284257703846
validation,43,full_formatting,accuracy,0.6316647976348252
validation,43,signal_interactions,log_loss,0.6454905851729845
validation,43,signal_interactions,brier_score,0.22614723327291966
validation,43,signal_interactions,accuracy,0.6374757875420533
validation,44,baseline,log_loss,0.6480181558802159
validation,44,baseline,brier_score,0.2280226822943086
validation,44,baseline,accuracy,0.6248741188318228
validation,44,full_formatting,log_loss,0.6415565049343244
validation,44,full_formatting,brier_score,0.2246570039500141
validation,44,full_formatting,accuracy,0.6353474320241692
validation,44,signal_interactions,log_loss,0.6399598313540731
validation,44,signal_interactions,brier_score,0.22421877289690587
validation,44,signal_interactions,accuracy,0.6424974823766365
validation,45,baseline,log_loss,0.6492034808620167
validation,45,baseline,brier_score,0.22859026700885246
validation,45,baseline,accuracy,0.6254563894523326
validation,45,full_formatting,log_loss,0.6423214162543857
validation,45,full_formatting,brier_score,0.225052674235637
validation,45,full_formatting,accuracy,0.6334685598377282
validation,45,signal_interactions,log_loss,0.6404934234231211
validation,45,signal_interactions,brier_score,0.22442869235147447
validation,45,signal_interactions,accuracy,0.6414807302231237
validation,46,baseline,log_loss,0.6388340174227366
validation,46,baseline,brier_score,0.22398864058179538
validation,46,baseline,accuracy,0.630148185998978
validation,46,full_formatting,log_loss,0.6301981080206079
validation,46,full_formatting,brier_score,0.21988255561435294
validation,46,full_formatting,accuracy,0.6396525293817067
validation,46,signal_interactions,log_loss,0.6303457648025201
validation,46,signal_interactions,brier_score,0.2196638564590853
validation,46,signal_interactions,accuracy,0.6433316300459888
validation,47,baseline,log_loss,0.6392229421506775
validation,47,baseline,brier_score,0.2239084381183994
validation,47,baseline,accuracy,0.6380168647769989
validation,47,full_formatting,log_loss,0.6338575863884656
validation,47,full_formatting,brier_score,0.2212481982754849
validation,47,full_formatting,accuracy,0.6451285177283349
validation,47,signal_interactions,log_loss,0.634122948899661
validation,47,signal_interactions,brier_score,0.22102789928826005
validation,47,signal_interactions,accuracy,0.6486843442040029
validation,48,baseline,log_loss,0.6462204273417085
validation,48,baseline,brier_score,0.2272663399028855
validation,48,baseline,accuracy,0.6227300550907978
validation,48,full_formatting,log_loss,0.6376927905891577
validation,48,full_formatting,brier_score,0.22324838485622447
validation,48,full_formatting,accuracy,0.6348704346051827
validation,48,signal_interactions,log_loss,0.6387251486099245
validation,48,signal_interactions,brier_score,0.2236150191570288
validation,48,signal_interactions,accuracy,0.6398694144052234
validation,49,baseline,log_loss,0.6418981649473589
validation,49,baseline,brier_score,0.225129902062222
validation,49,baseline,accuracy,0.6347729341559624
validation,49,full_formatting,log_loss,0.6348628953106545
validation,49,full_formatting,brier_score,0.22184965387880096
validation,49,full_formatting,accuracy,0.6419540811166178
validation,49,signal_interactions,log_loss,0.635592680607949
validation,49,signal_interactions,brier_score,0.2219241175064677
validation,49,signal_interactions,accuracy,0.649742085566906
validation,50,baseline,log_loss,0.6478884918640812
validation,50,baseline,brier_score,0.22789912074840818
validation,50,baseline,accuracy,0.6230675345809601
validation,50,full_formatting,log_loss,0.6426600464824488
validation,50,full_formatting,brier_score,0.22495666126596456
validation,50,full_formatting,accuracy,0.6348657445077298
validation,50,signal_interactions,log_loss,0.6414810149053831
validation,50,signal_interactions,brier_score,0.22455580552052115
validation,50,signal_interactions,accuracy,0.6372050447518307
validation,51,baseline,log_loss,0.6458964828295665
validation,51,baseline,brier_score,0.22697477400549926
validation,51,baseline,accuracy,0.627762501273042
validation,51,full_formatting,log_loss,0.6404167984486843
validation,51,full_formatting,brier_score,0.2240454695647755
validation,51,full_formatting,accuracy,0.6375394643039006
validation,51,signal_interactions,log_loss,0.6387026583643569
validation,51,signal_interactions,brier_score,0.2233089616179464
validation,51,signal_interactions,accuracy,0.6460943069559019
validation,52,baseline,log_loss,0.6444852265807094
validation,52,baseline,brier_score,0.22643605195154484
validation,52,baseline,accuracy,0.6279635258358662
validation,52,full_formatting,log_loss,0.6381465432767741
validation,52,full_formatting,brier_score,0.2234759473044725
validation,52,full_formatting,accuracy,0.6355623100303951
validation,52,signal_interactions,log_loss,0.636957618841108
validation,52,signal_interactions,brier_score,0.22296985198220945
validation,52,signal_interactions,accuracy,0.6407294832826748
validation,53,baseline,log_loss,0.6431701006072321
validation,53,baseline,brier_score,0.22587640288570693
validation,53,baseline,accuracy,0.6256011460145299
validation,53,full_formatting,log_loss,0.6403074687347132
validation,53,full_formatting,brier_score,0.22372704742517505
validation,53,full_formatting,accuracy,0.6334799959070909
validation,53,signal_interactions,log_loss,0.638543294214646
validation,53,signal_interactions,brier_score,0.22317829724459312
validation,53,signal_interactions,accuracy,0.6423820730584263
validation,54,baseline,log_loss,0.6469729967234887
validation,54,baseline,brier_score,0.22767842914275171
validation,54,baseline,accuracy,0.6222538649308381
validation,54,full_formatting,log_loss,0.6390510238313895
validation,54,full_formatting,brier_score,0.22414949047429236
validation,54,full_formatting,accuracy,0.6257119609438568
validation,54,signal_interactions,log_loss,0.6407171435350982
validation,54,signal_interactions,brier_score,0.224280898903913
validation,54,signal_interactions,accuracy,0.6334418226200162
validation,55,baseline,log_loss,0.6484237094432421
validation,55,baseline,brier_score,0.22824546411791646
validation,55,baseline,accuracy,0.6242615603992666
validation,55,full_formatting,log_loss,0.6413908487723265
validation,55,full_formatting,brier_score,0.22507592379843322
validation,55,full_formatting,accuracy,0.6319005907516806
validation,55,signal_interactions,log_loss,0.641680758009983
validation,55,signal_interactions,brier_score,0.2250243443905686
validation,55,signal_interactions,accuracy,0.6345487879405174
validation,56,baseline,log_loss,0.6454106195544539
validation,56,baseline,brier_score,0.22687802009114674
validation,56,baseline,accuracy,0.6245175705870404
validation,56,full_formatting,log_loss,0.6408456240564929
validation,56,full_formatting,brier_score,0.22443814199748166
validation,56,full_formatting,accuracy,0.6357911842372537
validation,56,signal_interactions,log_loss,0.6393335236264487
validation,56,signal_interactions,brier_score,0.2237648515325033
validation,56,signal_interactions,accuracy,0.643510054844607
validation,57,baseline,log_loss,0.6430208541634466
validation,57,baseline,brier_score,0.22586330101533794
validation,57,baseline,accuracy,0.6293024672555589
validation,57,full_formatting,log_loss,0.6345983219264462
validation,57,full_formatting,brier_score,0.2220400202123987
validation,57,full_formatting,accuracy,0.6378312519037466
validation,57,signal_interactions,log_loss,0.6339587447340477
validation,57,signal_interactions,brier_score,0.22155863766329198
validation,57,signal_interactions,accuracy,0.6455477713473449
validation,58,baseline,log_loss,0.6414153963815746
validation,58,baseline,brier_score,0.22498863329617028
validation,58,baseline,accuracy,0.6333027242118151
validation,58,full_formatting,log_loss,0.6338908690380523
validation,58,full_formatting,brier_score,0.22132010802778423
validation,58,full_formatting,accuracy,0.6397306397306397
validation,58,signal_interactions,log_loss,0.6340692223726309
validation,58,signal_interactions,brier_score,0.2213405050900125
validation,58,signal_interactions,accuracy,0.6471788593000715
validation,59,baseline,log_loss,0.649428895866809
validation,59,baseline,brier_score,0.22868830472156804
validation,59,baseline,accuracy,0.6227881763322083
validation,59,full_formatting,log_loss,0.6418923706266617
validation,59,full_formatting,brier_score,0.22511650950069625
validation,59,full_formatting,accuracy,0.6306638028024957
validation,59,signal_interactions,log_loss,0.6410134549097176
validation,59,signal_interactions,brier_score,0.22473515834923988
validation,59,signal_interactions,accuracy,0.6351641607855171
validation,60,baseline,log_loss,0.6444482809404678
validation,60,baseline,brier_score,0.22653425437599056
validation,60,baseline,accuracy,0.6256766418139107
validation,60,full_formatting,log_loss,0.638753011106853
validation,60,full_formatting,brier_score,0.2232674468897288
validation,60,full_formatting,accuracy,0.6360943723828005
validation,60,signal_interactions,log_loss,0.6385723803248483
validation,60,signal_interactions,brier_score,0.2234272460895133
validation,60,signal_interactions,accuracy,0.6385456031048923
validation,61,baseline,log_loss,0.6430452716635559
validation,61,baseline,brier_score,0.2258328229352997
validation,61,baseline,accuracy,0.6269141060744347
validation,61,full_formatting,log_loss,0.6367530971380093
validation,61,full_formatting,brier_score,0.22273197010069132
validation,61,full_formatting,accuracy,0.6367508366291451
validation,61,signal_interactions,log_loss,0.636834884420138
validation,61,signal_interactions,brier_score,0.22271183414183274
validation,61,signal_interactions,accuracy,0.6429368218233444
validation,62,baseline,log_loss,0.6466023583029599
validation,62,baseline,brier_score,0.22740562287487662
validation,62,baseline,accuracy,0.623447995115001
validation,62,full_formatting,log_loss,0.6387233546530539
validation,62,full_formatting,brier_score,0.22329139492237252
validation,62,full_formatting,accuracy,0.6389171585589253
validation,62,signal_interactions,log_loss,0.6399576195083673
